Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2008-01-01,1.1335,1.1352,1.1319,1.1333,Tuesday,DOWN,-0.0002,-0.0020
2008-01-02,1.1336,1.1339,1.1147,1.1182,Wednesday,DOWN,-0.0154,-0.1540
2008-01-03,1.1186,1.1203,1.1105,1.1111,Thursday,DOWN,-0.0075,-0.0750
2008-01-04,1.1110,1.1165,1.1019,1.1078,Friday,DOWN,-0.0032,-0.0320
2008-01-07,1.1071,1.1191,1.1068,1.1165,Monday,UP,0.0094,0.0940
2008-01-08,1.1164,1.1191,1.1122,1.1122,Tuesday,DOWN,-0.0042,-0.0420
2008-01-09,1.1128,1.1170,1.1106,1.1157,Wednesday,UP,0.0029,0.0290
2008-01-10,1.1165,1.1174,1.1006,1.1030,Thursday,DOWN,-0.0135,-0.1350
2008-01-11,1.1034,1.1050,1.0979,1.1015,Friday,DOWN,-0.0019,-0.0190
2008-01-14,1.1014,1.1016,1.0886,1.0928,Monday,DOWN,-0.0086,-0.0860
2008-01-15,1.0928,1.0946,1.0854,1.0928,Tuesday,Break Even,0.0000,0.0000
2008-01-16,1.0923,1.1025,1.0838,1.0997,Wednesday,UP,0.0074,0.0740
2008-01-17,1.0998,1.1088,1.0953,1.1003,Thursday,UP,0.0005,0.0050
2008-01-18,1.1001,1.1064,1.0982,1.0994,Friday,DOWN,-0.0007,-0.0070
2008-01-21,1.0991,1.1111,1.0993,1.1086,Monday,UP,0.0095,0.0950
2008-01-22,1.1088,1.1123,1.0953,1.0954,Tuesday,DOWN,-0.0134,-0.1340
2008-01-23,1.0960,1.0991,1.0871,1.0906,Wednesday,DOWN,-0.0054,-0.0540
2008-01-24,1.0907,1.0938,1.0846,1.0864,Thursday,DOWN,-0.0043,-0.0430
2008-01-25,1.0869,1.0990,1.0863,1.0969,Friday,UP,0.0100,0.1000
2008-01-28,1.0961,1.0970,1.0873,1.0891,Monday,DOWN,-0.0070,-0.0700
2008-01-29,1.0892,1.0962,1.0886,1.0937,Tuesday,UP,0.0045,0.0450
2008-01-30,1.0934,1.0951,1.0823,1.0832,Wednesday,DOWN,-0.0102,-0.1020
2008-01-31,1.0833,1.0861,1.0758,1.0805,Thursday,DOWN,-0.0028,-0.0280
2008-02-01,1.0813,1.0897,1.0732,1.0892,Friday,UP,0.0079,0.0790
2008-02-04,1.0892,1.0926,1.0864,1.0882,Monday,DOWN,-0.0010,-0.0100
2008-02-05,1.0882,1.1058,1.0875,1.0997,Tuesday,UP,0.0115,0.1150
2008-02-06,1.1001,1.1006,1.0951,1.0979,Wednesday,DOWN,-0.0022,-0.0220
2008-02-07,1.0980,1.1105,1.0933,1.1035,Thursday,UP,0.0055,0.0550
2008-02-08,1.1041,1.1083,1.1008,1.1020,Friday,DOWN,-0.0021,-0.0210
2008-02-11,1.1022,1.1048,1.0946,1.1019,Monday,DOWN,-0.0003,-0.0030
