Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2011-01-03,1.3340,1.3396,1.3249,1.3351,Monday,UP,0.0011,0.0110
2011-01-04,1.3354,1.3434,1.3291,1.3301,Tuesday,DOWN,-0.0053,-0.0530
2011-01-05,1.3301,1.3327,1.3125,1.3151,Wednesday,DOWN,-0.0150,-0.1500
2011-01-06,1.3151,1.3171,1.2996,1.3001,Thursday,DOWN,-0.0150,-0.1500
2011-01-07,1.3009,1.3022,1.2904,1.2916,Friday,DOWN,-0.0093,-0.0930
2011-01-10,1.2882,1.2965,1.2873,1.2941,Monday,UP,0.0059,0.0590
2011-01-11,1.2951,1.2994,1.2904,1.2975,Tuesday,UP,0.0024,0.0240
2011-01-12,1.2976,1.3146,1.2961,1.3135,Wednesday,UP,0.0159,0.1590
2011-01-13,1.3132,1.3386,1.3087,1.3354,Thursday,UP,0.0222,0.2220
2011-01-14,1.3357,1.3458,1.3313,1.3375,Friday,UP,0.0018,0.0180
2011-01-17,1.3386,1.3388,1.3245,1.3292,Monday,DOWN,-0.0094,-0.0940
2011-01-18,1.3289,1.3466,1.3251,1.3379,Tuesday,UP,0.0090,0.0900
2011-01-19,1.3386,1.3540,1.3367,1.3466,Wednesday,UP,0.0080,0.0800
2011-01-20,1.3474,1.3524,1.3395,1.3476,Thursday,UP,0.0002,0.0020
2011-01-21,1.3474,1.3628,1.3447,1.3615,Friday,UP,0.0141,0.1410
2011-01-24,1.3634,1.3688,1.3538,1.3643,Monday,UP,0.0009,0.0090
2011-01-25,1.3643,1.3705,1.3571,1.3689,Tuesday,UP,0.0046,0.0460
2011-01-26,1.3684,1.3723,1.3643,1.3697,Wednesday,UP,0.0013,0.0130
2011-01-27,1.3700,1.3760,1.3636,1.3726,Thursday,UP,0.0026,0.0260
2011-01-28,1.3735,1.3748,1.3582,1.3613,Friday,DOWN,-0.0122,-0.1220
2011-01-31,1.3592,1.3741,1.3569,1.3685,Monday,UP,0.0093,0.0930
2011-02-01,1.3688,1.3846,1.3685,1.3833,Tuesday,UP,0.0145,0.1450
2011-02-02,1.3831,1.3863,1.3767,1.3803,Wednesday,DOWN,-0.0028,-0.0280
2011-02-03,1.3811,1.3827,1.3609,1.3630,Thursday,DOWN,-0.0181,-0.1810
2011-02-04,1.3636,1.3679,1.3543,1.3585,Friday,DOWN,-0.0051,-0.0510
