Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2016-01-01,1.4733,1.4748,1.4733,1.4733,Friday,Break Even,0.0000,0.0000
2016-01-04,1.4734,1.4816,1.4662,1.4716,Monday,DOWN,-0.0018,-0.0184
2016-01-05,1.4716,1.4725,1.4636,1.4674,Tuesday,DOWN,-0.0041,-0.0414
2016-01-06,1.4675,1.4682,1.4599,1.4626,Wednesday,DOWN,-0.0049,-0.0490
2016-01-07,1.4626,1.4640,1.4531,1.4627,Thursday,UP,0.0001,0.0012
2016-01-08,1.4627,1.4645,1.4504,1.4521,Friday,DOWN,-0.0106,-0.1056
2016-01-11,1.4505,1.4604,1.4492,1.4548,Monday,UP,0.0044,0.0437
2016-01-12,1.4548,1.4560,1.4351,1.4425,Tuesday,DOWN,-0.0123,-0.1233
2016-01-13,1.4425,1.4476,1.4379,1.4418,Wednesday,DOWN,-0.0007,-0.0070
2016-01-14,1.4418,1.4445,1.4358,1.4416,Thursday,DOWN,-0.0002,-0.0019
2016-01-15,1.4417,1.4428,1.4248,1.4256,Friday,DOWN,-0.0161,-0.1605
2016-01-18,1.4256,1.4323,1.4234,1.4253,Monday,DOWN,-0.0003,-0.0029
2016-01-19,1.4253,1.4340,1.4127,1.4165,Tuesday,DOWN,-0.0088,-0.0882
2016-01-20,1.4165,1.4219,1.4124,1.4185,Wednesday,UP,0.0020,0.0204
2016-01-21,1.4185,1.4249,1.4080,1.4222,Thursday,UP,0.0038,0.0376
2016-01-22,1.4224,1.4363,1.4202,1.4264,Friday,UP,0.0040,0.0403
2016-01-25,1.4266,1.4310,1.4220,1.4239,Monday,DOWN,-0.0027,-0.0267
2016-01-26,1.4240,1.4367,1.4172,1.4348,Tuesday,UP,0.0107,0.1073
2016-01-27,1.4348,1.4355,1.4228,1.4243,Wednesday,DOWN,-0.0105,-0.1048
2016-01-28,1.4244,1.4407,1.4236,1.4358,Thursday,UP,0.0113,0.1135
2016-01-29,1.4357,1.4413,1.4148,1.4245,Friday,DOWN,-0.0112,-0.1124
2016-02-01,1.4235,1.4445,1.4226,1.4419,Monday,UP,0.0185,0.1847
2016-02-02,1.4419,1.4446,1.4325,1.4410,Tuesday,DOWN,-0.0009,-0.0092
2016-02-03,1.4409,1.4649,1.4380,1.4586,Wednesday,UP,0.0177,0.1769
2016-02-04,1.4587,1.4668,1.4528,1.4573,Thursday,DOWN,-0.0013,-0.0133
2016-02-05,1.4573,1.4591,1.4451,1.4501,Friday,DOWN,-0.0072,-0.0725
2016-02-08,1.4501,1.4547,1.4350,1.4426,Monday,DOWN,-0.0074,-0.0745
2016-02-09,1.4426,1.4515,1.4377,1.4467,Tuesday,UP,0.0041,0.0408
2016-02-10,1.4467,1.4578,1.4439,1.4533,Wednesday,UP,0.0066,0.0660
2016-02-11,1.4535,1.4564,1.4382,1.4477,Thursday,DOWN,-0.0058,-0.0578
2016-02-12,1.4477,1.4570,1.4441,1.4503,Friday,UP,0.0027,0.0266
2016-02-15,1.4499,1.4535,1.4409,1.4435,Monday,DOWN,-0.0064,-0.0638
2016-02-16,1.4436,1.4516,1.4275,1.4304,Tuesday,DOWN,-0.0132,-0.1321
2016-02-17,1.4303,1.4339,1.4233,1.4286,Wednesday,DOWN,-0.0016,-0.0161
2016-02-18,1.4287,1.4394,1.4256,1.4329,Thursday,UP,0.0042,0.0421
2016-02-19,1.4329,1.4409,1.4246,1.4405,Friday,UP,0.0076,0.0758
2016-02-22,1.4294,1.4303,1.4056,1.4148,Monday,DOWN,-0.0146,-0.1459
2016-02-23,1.4149,1.4156,1.4006,1.4022,Tuesday,DOWN,-0.0127,-0.1267
2016-02-24,1.4022,1.4026,1.3876,1.3928,Wednesday,DOWN,-0.0094,-0.0940
2016-02-25,1.3928,1.3996,1.3899,1.3954,Thursday,UP,0.0026,0.0257
2016-02-26,1.3953,1.4043,1.3851,1.3870,Friday,DOWN,-0.0083,-0.0831
2016-02-29,1.3861,1.3946,1.3834,1.3925,Monday,UP,0.0064,0.0636
2016-03-01,1.3925,1.4018,1.3902,1.3949,Tuesday,UP,0.0024,0.0235
2016-03-02,1.3950,1.4093,1.3912,1.4076,Wednesday,UP,0.0126,0.1260
2016-03-03,1.4076,1.4194,1.4029,1.4169,Thursday,UP,0.0093,0.0932
2016-03-04,1.4170,1.4249,1.4107,1.4226,Friday,UP,0.0056,0.0563
2016-03-07,1.4220,1.4284,1.4131,1.4261,Monday,UP,0.0041,0.0405
2016-03-08,1.4261,1.4276,1.4171,1.4210,Tuesday,DOWN,-0.0051,-0.0510
2016-03-09,1.4209,1.4241,1.4175,1.4211,Wednesday,UP,0.0001,0.0014
2016-03-10,1.4209,1.4317,1.4116,1.4286,Thursday,UP,0.0076,0.0762
2016-03-11,1.4286,1.4437,1.4253,1.4378,Friday,UP,0.0092,0.0920
2016-03-14,1.4377,1.4389,1.4290,1.4298,Monday,DOWN,-0.0079,-0.0792
2016-03-15,1.4298,1.4302,1.4136,1.4158,Tuesday,DOWN,-0.0140,-0.1399
2016-03-16,1.4158,1.4274,1.4052,1.4248,Wednesday,UP,0.0090,0.0903
2016-03-17,1.4248,1.4503,1.4218,1.4474,Thursday,UP,0.0226,0.2257
2016-03-18,1.4474,1.4514,1.4408,1.4476,Friday,UP,0.0002,0.0023
2016-03-21,1.4464,1.4467,1.4362,1.4370,Monday,DOWN,-0.0094,-0.0940
2016-03-22,1.4370,1.4397,1.4188,1.4216,Tuesday,DOWN,-0.0154,-0.1536
2016-03-23,1.4216,1.4227,1.4081,1.4114,Wednesday,DOWN,-0.0102,-0.1016
2016-03-24,1.4115,1.4183,1.4053,1.4145,Thursday,UP,0.0031,0.0309
2016-03-25,1.4145,1.4157,1.4106,1.4135,Friday,DOWN,-0.0010,-0.0105
2016-03-28,1.4133,1.4283,1.4118,1.4256,Monday,UP,0.0123,0.1226
2016-03-29,1.4256,1.4404,1.4193,1.4384,Tuesday,UP,0.0129,0.1285
2016-03-30,1.4384,1.4459,1.4359,1.4372,Wednesday,DOWN,-0.0012,-0.0123
2016-03-31,1.4373,1.4427,1.4325,1.4368,Thursday,DOWN,-0.0006,-0.0058
2016-04-01,1.4368,1.4371,1.4169,1.4228,Friday,DOWN,-0.0140,-0.1398
2016-04-04,1.4218,1.4322,1.4188,1.4261,Monday,UP,0.0044,0.0439
2016-04-05,1.4262,1.4279,1.4121,1.4155,Tuesday,DOWN,-0.0107,-0.1066
2016-04-06,1.4155,1.4171,1.4004,1.4126,Wednesday,DOWN,-0.0029,-0.0292
2016-04-07,1.4126,1.4157,1.4046,1.4052,Thursday,DOWN,-0.0074,-0.0739
2016-04-08,1.4053,1.4141,1.4038,1.4126,Friday,UP,0.0073,0.0726
2016-04-11,1.4125,1.4285,1.4105,1.4227,Monday,UP,0.0102,0.1020
2016-04-12,1.4227,1.4347,1.4195,1.4265,Tuesday,UP,0.0037,0.0375
2016-04-13,1.4263,1.4279,1.4191,1.4221,Wednesday,DOWN,-0.0042,-0.0417
2016-04-14,1.4205,1.4205,1.4089,1.4147,Thursday,DOWN,-0.0058,-0.0577
2016-04-15,1.4149,1.4223,1.4131,1.4215,Friday,UP,0.0066,0.0663
2016-04-18,1.4167,1.4290,1.4129,1.4271,Monday,UP,0.0104,0.1039
2016-04-19,1.4271,1.4419,1.4268,1.4386,Tuesday,UP,0.0115,0.1152
2016-04-20,1.4387,1.4410,1.4327,1.4335,Wednesday,DOWN,-0.0052,-0.0524
2016-04-21,1.4335,1.4439,1.4297,1.4317,Thursday,DOWN,-0.0018,-0.0180
2016-04-22,1.4317,1.4452,1.4314,1.4410,Friday,UP,0.0093,0.0931
2016-04-25,1.4452,1.4520,1.4401,1.4482,Monday,UP,0.0030,0.0299
2016-04-26,1.4482,1.4639,1.4478,1.4578,Tuesday,UP,0.0096,0.0962
2016-04-27,1.4578,1.4622,1.4473,1.4539,Wednesday,DOWN,-0.0039,-0.0390
2016-04-28,1.4540,1.4623,1.4522,1.4607,Thursday,UP,0.0067,0.0671
2016-04-29,1.4607,1.4671,1.4574,1.4606,Friday,DOWN,-0.0000,-0.0001
2016-05-02,1.4591,1.4696,1.4589,1.4667,Monday,UP,0.0076,0.0760
2016-05-03,1.4667,1.4770,1.4528,1.4543,Tuesday,DOWN,-0.0124,-0.1237
