Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2000-01-04,289.5000,289.5000,280.0000,283.7000,Tuesday,DOWN,-5.8000,-58.0000
2000-01-05,283.7000,285.0000,281.0000,282.1000,Wednesday,DOWN,-1.6000,-16.0000
2000-01-06,281.6000,282.8000,280.2000,282.4000,Thursday,UP,0.8000,8.0000
2000-01-07,282.5000,284.5000,282.0000,282.9000,Friday,UP,0.4000,4.0000
2000-01-10,282.4000,283.9000,281.8000,282.7000,Monday,UP,0.3000,3.0000
2000-01-11,282.4000,285.3000,281.9000,284.4000,Tuesday,UP,2.0000,20.0000
2000-01-12,284.5000,285.0000,282.5000,283.7000,Wednesday,DOWN,-0.8000,-8.0000
2000-01-13,283.5000,285.9000,282.9000,285.1000,Thursday,UP,1.6000,16.0000
2000-01-14,285.2000,285.6000,284.0000,284.9000,Friday,DOWN,-0.3000,-3.0000
2000-01-18,286.1000,289.8000,285.9000,289.6000,Tuesday,UP,3.5000,35.0000
2000-01-19,289.6000,291.0000,287.5000,290.3000,Wednesday,UP,0.7000,7.0000
2000-01-20,290.3000,290.7000,288.4000,289.3000,Thursday,DOWN,-1.0000,-10.0000
2000-01-21,289.0000,290.3000,287.4000,289.7000,Friday,UP,0.7000,7.0000
2000-01-24,289.7000,289.7000,286.3000,288.1000,Monday,DOWN,-1.6000,-16.0000
2000-01-25,288.0000,291.8000,286.6000,286.6000,Tuesday,DOWN,-1.4000,-14.0000
2000-01-26,286.8000,287.5000,284.7000,286.5000,Wednesday,DOWN,-0.3000,-3.0000
2000-01-27,286.2000,287.5000,285.6000,287.1000,Thursday,UP,0.9000,9.0000
2000-01-28,289.6000,290.7000,283.0000,286.0000,Friday,DOWN,-3.6000,-36.0000
2000-01-31,286.0000,287.4000,284.9000,286.2000,Monday,UP,0.2000,2.0000
2000-02-01,286.0000,286.5000,285.0000,285.4000,Tuesday,DOWN,-0.6000,-6.0000
2000-02-02,285.4000,289.2000,285.3000,287.7000,Wednesday,UP,2.3000,23.0000
2000-02-03,287.7000,290.9000,287.0000,289.9000,Thursday,UP,2.2000,22.0000
2000-02-04,290.2000,318.5000,289.9000,313.0000,Friday,UP,22.8000,228.0000
2000-02-07,318.0000,326.9000,302.0000,304.5000,Monday,DOWN,-13.5000,-135.0000
2000-02-08,306.0000,308.0000,298.5000,301.7000,Tuesday,DOWN,-4.3000,-43.0000
2000-02-09,301.7000,314.0000,301.7000,308.6000,Wednesday,UP,6.9000,69.0000
2000-02-10,308.5000,319.0000,308.5000,318.7000,Thursday,UP,10.2000,102.0000
2000-02-11,318.3000,320.4000,311.0000,313.6000,Friday,DOWN,-4.7000,-47.0000
2000-02-14,313.6000,313.6000,308.3000,311.0000,Monday,DOWN,-2.6000,-26.0000
2000-02-15,310.7000,311.5000,303.8000,304.1000,Tuesday,DOWN,-6.6000,-66.0000
2000-02-16,304.2000,306.0000,299.7000,305.0000,Wednesday,UP,0.8000,8.0000
2000-02-17,305.3000,312.5000,300.0000,303.8000,Thursday,DOWN,-1.5000,-15.0000
2000-02-18,303.3000,307.8000,302.0000,307.3000,Friday,UP,4.0000,40.0000
2000-02-22,307.6000,309.4000,304.2000,307.7000,Tuesday,UP,0.1000,1.0000
2000-02-23,307.7000,308.2000,302.3000,302.4000,Wednesday,DOWN,-5.3000,-53.0000
2000-02-24,302.4000,303.5000,300.2000,300.9000,Thursday,DOWN,-1.5000,-15.0000
2000-02-25,300.9000,301.2000,293.5000,294.6000,Friday,DOWN,-6.3000,-63.0000
2000-02-28,294.5000,295.4000,293.1000,294.2000,Monday,DOWN,-0.3000,-3.0000
2000-02-29,293.8000,296.5000,293.5000,294.2000,Tuesday,UP,0.4000,4.0000
2000-03-01,294.2000,296.2000,292.8000,293.3000,Wednesday,DOWN,-0.9000,-9.0000
2000-03-02,292.9000,293.3000,289.4000,289.7000,Thursday,DOWN,-3.2000,-32.0000
2000-03-03,289.7000,292.2000,289.2000,290.3000,Friday,UP,0.6000,6.0000
2000-03-06,290.6000,291.7000,289.2000,289.4000,Monday,DOWN,-1.2000,-12.0000
2000-03-07,289.5000,295.4000,289.4000,293.7000,Tuesday,UP,4.2000,42.0000
2000-03-08,293.8000,295.0000,289.8000,290.4000,Wednesday,DOWN,-3.4000,-34.0000
2000-03-09,290.0000,293.0000,289.6000,292.7000,Thursday,UP,2.7000,27.0000
2000-03-10,292.7000,294.0000,289.4000,290.0000,Friday,DOWN,-2.7000,-27.0000
2000-03-13,290.0000,292.9000,290.0000,291.5000,Monday,UP,1.5000,15.0000
2000-03-14,291.7000,292.6000,289.2000,289.7000,Tuesday,DOWN,-2.0000,-20.0000
2000-03-15,289.6000,291.0000,289.3000,289.6000,Wednesday,Break Even,0.0000,0.0000
2000-03-16,289.9000,290.4000,286.3000,287.0000,Thursday,DOWN,-2.9000,-29.0000
2000-03-17,286.8000,287.0000,283.6000,285.0000,Friday,DOWN,-1.8000,-18.0000
2000-03-20,285.0000,286.9000,284.5000,286.5000,Monday,UP,1.5000,15.0000
2000-03-21,286.5000,292.0000,284.2000,290.4000,Tuesday,UP,3.9000,39.0000
