Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2024-01-01,140.8300,140.9000,140.8300,140.8700,Monday,UP,0.0400,0.4000
2024-01-02,140.8800,142.2300,140.8100,141.9800,Tuesday,UP,1.1000,11.0000
2024-01-03,142.0000,143.7500,141.8600,143.2900,Wednesday,UP,1.2900,12.9000
2024-01-04,143.3000,144.8700,142.8500,144.6200,Thursday,UP,1.3200,13.2000
2024-01-05,144.6300,145.9900,143.8100,144.6500,Friday,UP,0.0200,0.2000
2024-01-08,144.6000,144.9300,143.6600,144.2200,Monday,DOWN,-0.3800,-3.8000
2024-01-09,144.2700,144.6400,143.4200,144.4700,Tuesday,UP,0.2000,2.0000
2024-01-10,144.4800,145.8600,144.3200,145.7300,Wednesday,UP,1.2500,12.5000
2024-01-11,145.7500,146.4300,145.2600,145.2800,Thursday,DOWN,-0.4700,-4.7000
2024-01-12,145.2900,145.5700,144.3600,144.9000,Friday,DOWN,-0.3900,-3.9000
2024-01-15,144.9200,145.9600,144.8700,145.7300,Monday,UP,0.8100,8.1000
2024-01-16,145.7400,147.3300,145.5800,147.1800,Tuesday,UP,1.4400,14.4000
2024-01-17,147.2000,148.5400,147.0700,148.1500,Wednesday,UP,0.9500,9.5000
2024-01-18,148.1500,148.3200,147.6500,148.1500,Thursday,Break Even,0.0000,0.0000
2024-01-19,148.1300,148.8200,147.8400,148.1400,Friday,UP,0.0100,0.1000
2024-01-22,148.2800,148.3200,147.6200,148.0900,Monday,DOWN,-0.1900,-1.9000
2024-01-23,148.1000,148.7300,146.9900,148.3600,Tuesday,UP,0.2600,2.6000
2024-01-24,148.3600,148.4000,146.6500,147.5000,Wednesday,DOWN,-0.8600,-8.6000
2024-01-25,147.5100,147.9400,147.0800,147.6500,Thursday,UP,0.1400,1.4000
2024-01-26,147.6300,148.2300,147.4200,148.1600,Friday,UP,0.5300,5.3000
2024-01-29,148.1200,148.3400,147.2500,147.4900,Monday,DOWN,-0.6300,-6.3000
2024-01-30,147.5100,147.9500,147.1000,147.6000,Tuesday,UP,0.0900,0.9000
2024-01-31,147.6100,147.9100,146.0100,146.8800,Wednesday,DOWN,-0.7300,-7.3000
2024-02-01,146.8900,147.1300,145.8900,146.4200,Thursday,DOWN,-0.4700,-4.7000
2024-02-02,146.4400,148.6000,146.2400,148.3700,Friday,UP,1.9300,19.3000
2024-02-05,148.3600,148.9200,148.2600,148.6700,Monday,UP,0.3100,3.1000
2024-02-06,148.6700,148.8400,147.8200,147.9400,Tuesday,DOWN,-0.7300,-7.3000
2024-02-07,147.9500,148.3000,147.6400,148.1800,Wednesday,UP,0.2300,2.3000
2024-02-08,148.1900,149.5100,147.9300,149.3100,Thursday,UP,1.1200,11.2000
2024-02-09,149.3300,149.6000,149.0100,149.3000,Friday,DOWN,-0.0300,-0.3000
2024-02-12,149.2500,149.4900,148.9300,149.3400,Monday,UP,0.0900,0.9000
2024-02-13,149.3500,150.9000,149.2600,150.7900,Tuesday,UP,1.4400,14.4000
2024-02-14,150.7900,150.8200,150.3500,150.5500,Wednesday,DOWN,-0.2400,-2.4000
2024-02-15,150.5700,150.6000,149.5400,149.9100,Thursday,DOWN,-0.6600,-6.6000
2024-02-16,149.9300,150.6500,149.8200,150.2100,Friday,UP,0.2800,2.8000
2024-02-19,150.1000,150.2400,149.8700,150.1100,Monday,UP,0.0100,0.1000
2024-02-20,150.1300,150.4500,149.6800,149.9900,Tuesday,DOWN,-0.1400,-1.4000
2024-02-21,150.0100,150.4100,149.8500,150.2800,Wednesday,UP,0.2700,2.7000
2024-02-22,150.3100,150.7000,150.0100,150.5100,Thursday,UP,0.2000,2.0000
2024-02-23,150.5400,150.7900,150.3000,150.5000,Friday,DOWN,-0.0400,-0.4000
2024-02-26,150.4800,150.8500,150.2900,150.6900,Monday,UP,0.2100,2.1000
2024-02-27,150.7000,150.7200,150.0700,150.5000,Tuesday,DOWN,-0.2000,-2.0000
2024-02-28,150.5100,150.8500,150.3700,150.6700,Wednesday,UP,0.1600,1.6000
2024-02-29,150.7000,150.7000,149.2000,149.9800,Thursday,DOWN,-0.7200,-7.2000
2024-03-01,149.9800,150.7300,149.9500,150.1100,Friday,UP,0.1300,1.3000
2024-03-04,150.1100,150.6400,149.8300,150.5100,Monday,UP,0.4000,4.0000
2024-03-05,150.5200,150.6400,149.7000,150.0400,Tuesday,DOWN,-0.4800,-4.8000
2024-03-06,150.0400,150.1000,149.0900,149.3700,Wednesday,DOWN,-0.6700,-6.7000
2024-03-07,149.3600,149.4000,147.5800,148.0300,Thursday,DOWN,-1.3300,-13.3000
2024-03-08,148.0400,148.1200,146.4800,147.0700,Friday,DOWN,-0.9700,-9.7000
2024-03-11,147.0700,147.1800,146.4800,146.9400,Monday,DOWN,-0.1300,-1.3000
2024-03-12,146.9500,148.1500,146.6200,147.6800,Tuesday,UP,0.7300,7.3000
2024-03-13,147.7000,148.0600,147.2300,147.7400,Wednesday,UP,0.0400,0.4000
2024-03-14,147.7600,148.3700,147.4300,148.3200,Thursday,UP,0.5600,5.6000
2024-03-15,148.3600,149.2000,148.0300,149.0200,Friday,UP,0.6600,6.6000
2024-03-18,149.0100,149.3300,148.9000,149.1400,Monday,UP,0.1300,1.3000
2024-03-19,149.1600,150.9700,149.0300,150.8500,Tuesday,UP,1.6900,16.9000
2024-03-20,150.8900,151.8800,150.7300,151.2500,Wednesday,UP,0.3600,3.6000
2024-03-21,151.2600,151.8100,150.2600,151.6100,Thursday,UP,0.3500,3.5000
2024-03-22,151.6400,151.8700,151.0000,151.4200,Friday,DOWN,-0.2200,-2.2000
2024-03-25,151.4400,151.5500,151.0400,151.4100,Monday,DOWN,-0.0300,-0.3000
2024-03-26,151.4200,151.6200,151.2000,151.5500,Tuesday,UP,0.1300,1.3000
