Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2020-01-01,61.5200,61.5400,61.3300,61.3300,Wednesday,DOWN,-0.1900,-1.9000
2020-01-02,61.2900,61.3200,60.4200,60.9500,Thursday,DOWN,-0.3400,-3.4000
2020-01-03,60.9600,63.8000,60.9100,62.8200,Friday,UP,1.8600,18.6000
2020-01-06,63.4300,64.4500,62.4300,63.0400,Monday,DOWN,-0.3900,-3.9000
2020-01-07,62.6700,62.9200,61.9600,62.5100,Tuesday,DOWN,-0.1600,-1.6000
2020-01-08,62.6300,65.4000,58.9900,59.4600,Wednesday,DOWN,-3.1700,-31.7000
2020-01-09,59.8500,60.1700,58.5500,59.4400,Thursday,DOWN,-0.4100,-4.1000
2020-01-10,59.5100,59.6700,58.7900,58.9900,Friday,DOWN,-0.5200,-5.2000
2020-01-13,59.0800,59.2100,57.9300,58.0800,Monday,DOWN,-1.0000,-10.0000
2020-01-14,58.0600,58.7300,57.7400,58.2600,Tuesday,UP,0.2000,2.0000
2020-01-15,58.2300,58.4100,57.4200,57.8400,Wednesday,DOWN,-0.3900,-3.9000
2020-01-16,58.1200,58.8800,57.6000,58.5300,Thursday,UP,0.4100,4.1000
2020-01-17,58.6100,59.0000,58.3100,58.5800,Friday,DOWN,-0.0300,-0.3000
2020-01-20,59.2800,59.3200,58.5600,58.7300,Monday,DOWN,-0.5500,-5.5000
2020-01-21,59.3500,59.7700,57.7100,58.3800,Tuesday,DOWN,-0.9700,-9.7000
2020-01-22,58.2400,58.3500,56.0700,56.7600,Wednesday,DOWN,-1.4800,-14.8000
2020-01-23,56.1300,56.4300,54.8200,55.6100,Thursday,DOWN,-0.5200,-5.2000
2020-01-24,55.7200,55.9700,53.8800,54.2000,Friday,DOWN,-1.5200,-15.2000
2020-01-27,53.5700,53.7200,52.1600,53.1800,Monday,DOWN,-0.3900,-3.9000
2020-01-28,52.7200,54.0800,52.7200,53.5200,Tuesday,UP,0.8000,8.0000
2020-01-29,54.0000,54.3900,52.8700,53.4100,Wednesday,DOWN,-0.5900,-5.9000
2020-01-30,53.1000,53.2700,51.7500,52.2300,Thursday,DOWN,-0.8700,-8.7000
2020-01-31,52.9700,53.4200,51.0900,51.6800,Friday,DOWN,-1.2900,-12.9000
2020-02-03,51.1500,52.0500,49.9800,50.2800,Monday,DOWN,-0.8700,-8.7000
2020-02-04,50.0400,51.7000,49.5000,49.8000,Tuesday,DOWN,-0.2400,-2.4000
2020-02-05,49.6800,52.0100,49.6400,50.9200,Wednesday,UP,1.2400,12.4000
2020-02-06,51.3500,52.3400,50.4200,51.1400,Thursday,DOWN,-0.2100,-2.1000
2020-02-07,51.3100,51.6600,50.3200,50.5500,Friday,DOWN,-0.7600,-7.6000
2020-02-10,50.3400,50.7100,49.6300,49.7800,Monday,DOWN,-0.5600,-5.6000
2020-02-11,49.7800,50.8600,49.7800,50.1700,Tuesday,UP,0.3900,3.9000
2020-02-12,50.1600,51.9300,50.1600,51.4100,Wednesday,UP,1.2500,12.5000
2020-02-13,51.8700,52.1900,50.8200,51.6600,Thursday,DOWN,-0.2100,-2.1000
2020-02-14,51.7300,52.5600,51.5500,52.3200,Friday,UP,0.5900,5.9000
2020-02-17,52.3400,52.5900,52.0500,52.2000,Monday,DOWN,-0.1400,-1.4000
2020-02-18,52.4900,52.6500,51.1500,52.2900,Tuesday,DOWN,-0.2000,-2.0000
2020-02-19,52.3600,53.8700,52.1600,53.4900,Wednesday,UP,1.1300,11.3000
2020-02-20,53.7000,54.6600,53.4400,53.8800,Thursday,UP,0.1800,1.8000
2020-02-21,53.9300,54.0200,52.7200,53.5000,Friday,DOWN,-0.4300,-4.3000
2020-02-24,52.7900,52.7900,50.6100,51.5800,Monday,DOWN,-1.2100,-12.1000
2020-02-25,51.5000,52.1500,49.8500,50.0600,Tuesday,DOWN,-1.4400,-14.4000
2020-02-26,50.2200,50.5700,48.4400,48.8800,Wednesday,DOWN,-1.3400,-13.4000
2020-02-27,48.7000,48.9000,46.1000,47.2900,Thursday,DOWN,-1.4100,-14.1000
2020-02-28,46.6800,47.2000,44.0700,44.9400,Friday,DOWN,-1.7400,-17.4000
2020-03-02,43.9300,47.7100,43.4000,46.9200,Monday,UP,2.9900,29.9000
2020-03-03,47.9800,48.8200,46.6400,47.3300,Tuesday,DOWN,-0.6500,-6.5000
2020-03-04,47.1000,48.5600,46.8200,46.9500,Wednesday,DOWN,-0.1500,-1.5000
2020-03-05,47.3800,47.7200,45.8200,46.0600,Thursday,DOWN,-1.3200,-13.2000
2020-03-06,46.2200,46.5300,41.2900,41.5100,Friday,DOWN,-4.7100,-47.1000
2020-03-09,32.8700,35.1900,27.8300,31.4700,Monday,DOWN,-1.4000,-14.0000
2020-03-10,30.7500,35.3500,30.5800,34.7300,Tuesday,UP,3.9800,39.8000
2020-03-11,35.0000,36.7000,32.9700,33.3900,Wednesday,DOWN,-1.6100,-16.1000
2020-03-12,33.4300,34.0500,30.5000,31.9800,Thursday,DOWN,-1.4500,-14.5000
2020-03-13,31.3500,34.3800,30.8000,32.1100,Friday,UP,0.7600,7.6000
2020-03-16,32.6900,33.8000,28.5000,29.0000,Monday,DOWN,-3.6900,-36.9000
2020-03-17,28.9900,30.6100,27.0600,27.3300,Tuesday,DOWN,-1.6600,-16.6000
2020-03-18,27.3000,27.6000,20.5200,20.8300,Wednesday,DOWN,-6.4700,-64.7000
2020-03-19,22.8200,28.2800,21.7700,25.9100,Thursday,UP,3.0900,30.9000
2020-03-20,25.5900,28.4900,22.3900,22.6300,Friday,DOWN,-2.9600,-29.6000
2020-03-23,24.4000,26.1200,22.7400,25.4800,Monday,UP,1.0800,10.8000
2020-03-24,25.8700,27.2800,25.4400,26.2000,Tuesday,UP,0.3300,3.3000
2020-03-25,26.6400,27.5900,25.5600,27.1600,Wednesday,UP,0.5200,5.2000
2020-03-26,27.0400,27.4600,25.4700,25.7100,Thursday,DOWN,-1.3300,-13.3000
2020-03-27,26.2300,26.4300,24.5900,25.1500,Friday,DOWN,-1.0800,-10.8000
2020-03-30,24.6800,25.0100,23.3100,24.0900,Monday,DOWN,-0.5900,-5.9000
2020-03-31,24.2500,25.7300,24.0600,24.5100,Tuesday,UP,0.2600,2.6000
2020-04-01,24.1800,24.7200,23.6300,23.7400,Wednesday,DOWN,-0.4400,-4.4000
2020-04-02,24.1900,30.1600,23.9200,28.0500,Thursday,UP,3.8600,38.6000
2020-04-03,27.3400,31.6200,26.5300,30.9000,Friday,UP,3.5600,35.6000
2020-04-06,29.2000,31.2700,28.1300,29.9800,Monday,UP,0.7800,7.8000
2020-04-07,30.2100,31.3000,28.5300,28.6900,Tuesday,DOWN,-1.5200,-15.2000
2020-04-08,29.2100,31.0500,29.0500,30.1700,Wednesday,UP,0.9600,9.6000
2020-04-09,30.8200,33.1500,28.6300,28.8200,Thursday,DOWN,-2.0000,-20.0000
2020-04-13,30.3000,30.5700,28.2600,29.2600,Monday,DOWN,-1.0400,-10.4000
2020-04-14,29.2000,29.9500,27.2500,27.4000,Tuesday,DOWN,-1.8000,-18.0000
2020-04-15,27.8400,28.1400,25.8400,26.0400,Wednesday,DOWN,-1.8000,-18.0000
2020-04-16,26.2600,27.0000,24.9300,25.5300,Thursday,DOWN,-0.7300,-7.3000
